DateTime,BANKBARODA_0,BANKBARODA_1,BANKBARODA_2,BANKBARODA_3,BANKBARODA_4,CANARABANK_0,CANARABANK_1,CANARABANK_2,CANARABANK_3,CANARABANK_4,AXISBANK_0,AXISBANK_1,AXISBANK_2,AXISBANK_3,AXISBANK_4,SBI_0,SBI_1,SBI_2,SBI_3,SBI_4,PNB_0,PNB_1,PNB_2,PNB_3,PNB_4,ICICIBANK_0,ICICIBANK_1,ICICIBANK_2,ICICIBANK_3,ICICIBANK_4,HDFC_0,HDFC_1,HDFC_2,HDFC_3,HDFC_4,FEDERALBANK_0,FEDERALBANK_1,FEDERALBANK_2,FEDERALBANK_3,FEDERALBANK_4,HDFCBANK_0,HDFCBANK_1,HDFCBANK_2,HDFCBANK_3,HDFCBANK_4,INDUSINDBANK_0,INDUSINDBANK_1,INDUSINDBANK_2,INDUSINDBANK_3,INDUSINDBANK_4,KOTAKBANK_0,KOTAKBANK_1,KOTAKBANK_2,KOTAKBANK_3,KOTAKBANK_4,NIFTY_0,NIFTY_1,NIFTY_2,NIFTY_3,NIFTY_4,YESBANK_0,YESBANK_1,YESBANK_2,YESBANK_3,YESBANK_4,BANKNIFTY_0,BANKNIFTY_1,BANKNIFTY_2,BANKNIFTY_3,BANKNIFTY_4
2010-12-20 09:16:00,888.0,888.0,888.0,888.0,250.0,659.5,660.05,657.25,657.25,2000.0,1305.0,1305.0,1300.0,1300.4,7500.0,2727.65,2730.0,2721.0,2726.1,27625.0,1199.0,1204.9,1199.0,1201.0,1750.0,1100.0,1102.3,1099.35,1102.3,20750.0,690.3,692.0,688.6,688.6,35625.0,405.05,406.45,405.05,405.55,5000.0,2182.5,2182.5,2176.1,2180.0,8500.0,250.3,250.3,250.3,250.3,1000.0,464.5,464.55,462.0,462.0,2000.0,5923.95,5927.8,5910.0,5912.0,231550.0,297.95,298.8,297.65,298.4,16000.0,11339.0,11345.0,11330.0,11339.8,10275.0
2010-12-20 09:17:00,890.0,890.05,888.1,890.05,1250.0,656.05,656.05,652.1,652.1,2500.0,1300.0,1300.0,1296.1,1299.5,6000.0,2726.2,2726.2,2718.15,2723.75,33000.0,1200.1,1200.1,1197.0,1197.0,1250.0,1102.2,1106.55,1100.0,1105.0,66500.0,688.0,688.0,686.1,687.9,20000.0,405.6,405.6,405.55,405.55,3000.0,2180.8,2180.8,2174.0,2175.0,6625.0,250.25,250.25,249.3,249.8,4000.0,462.1,462.6,461.0,462.3,3000.0,5913.0,5916.0,5902.0,5913.4,197600.0,298.1,298.7,297.45,297.7,21000.0,11337.0,11337.0,11312.0,11326.0,15450.0
2010-12-20 09:18:00,890.0,890.0,888.6,888.6,750.0,652.55,653.85,652.0,653.85,4500.0,1297.05,1299.0,1295.0,1295.5,9000.0,2723.75,2729.0,2720.25,2720.25,23125.0,1196.05,1199.0,1196.05,1196.3,2000.0,1104.0,1104.8,1102.75,1104.8,38500.0,686.35,686.4,684.0,685.0,28750.0,405.5,406.0,405.5,406.0,2000.0,2176.2,2182.55,2173.55,2175.0,12625.0,249.2,249.2,245.9,247.55,12000.0,462.25,462.75,458.85,460.1,4500.0,5913.4,5916.0,5910.8,5913.4,133600.0,298.05,298.15,297.35,297.35,10000.0,11326.0,11340.0,11321.0,11330.0,9200.0
2010-12-20 09:19:00,888.05,890.05,886.55,888.0,3250.0,653.85,653.85,652.2,652.5,4500.0,1296.65,1297.0,1295.65,1297.0,4250.0,2724.4,2724.7,2720.0,2724.0,17250.0,1195.0,1199.0,1195.0,1195.0,1750.0,1104.1,1104.5,1103.4,1104.5,21250.0,684.5,685.0,684.0,684.1,15000.0,405.5,405.5,405.5,405.5,1000.0,2175.35,2175.55,2171.55,2173.9,5375.0,246.0,246.0,245.3,245.3,2000.0,460.6,460.6,458.6,459.1,4500.0,5914.0,5914.5,5908.7,5911.35,148450.0,297.3,297.9,297.3,297.4,12000.0,11326.0,11330.0,11309.0,11326.2,10575.0
2010-12-20 09:20:00,888.0,888.0,886.5,886.5,1750.0,654.55,654.55,653.05,653.05,1500.0,1297.0,1298.5,1296.95,1297.6,8250.0,2722.35,2727.0,2722.35,2723.0,22375.0,1196.95,1196.95,1195.05,1196.95,750.0,1104.0,1104.0,1099.0,1099.6,21250.0,685.2,685.7,683.05,683.95,19375.0,405.0,405.0,405.0,405.0,2000.0,2173.1,2174.8,2170.2,2170.35,5000.0,245.5,245.7,245.5,245.7,4000.0,458.05,458.95,455.15,455.15,9000.0,5913.8,5913.8,5907.0,5909.0,114500.0,297.5,297.5,296.75,296.75,17000.0,11330.0,11336.0,11312.25,11314.0,8850.0
2010-12-20 09:21:00,887.4,887.4,885.5,885.5,1000.0,653.0,653.8,651.2,651.2,8000.0,1296.85,1298.95,1295.0,1295.05,8500.0,2723.0,2725.0,2720.0,2723.25,16000.0,1200.8,1200.8,1195.05,1198.0,2750.0,1098.9,1100.1,1098.35,1099.0,25250.0,683.0,683.7,682.0,682.0,21250.0,404.65,404.65,404.55,404.55,2000.0,2170.1,2170.1,2160.0,2164.0,8375.0,245.95,246.6,245.95,246.6,5000.0,456.9,456.9,455.0,455.15,7500.0,5910.0,5912.0,5907.3,5909.85,108500.0,296.6,296.75,295.5,295.6,24000.0,11319.0,11319.0,11292.0,11295.05,18450.0
2010-12-20 09:22:00,885.55,886.9,885.55,886.9,1750.0,652.7,653.0,652.7,653.0,1000.0,1295.05,1296.7,1292.0,1294.3,9000.0,2722.0,2725.5,2720.15,2723.5,19750.0,1197.9,1200.0,1197.9,1200.0,1500.0,1099.0,1099.75,1097.65,1097.65,18750.0,682.1,683.4,681.6,683.25,10000.0,404.35,405.0,404.35,404.8,3000.0,2165.35,2166.1,2163.6,2165.2,1750.0,246.5,246.5,246.5,246.5,1000.0,455.9,456.5,455.3,456.5,5500.0,5909.85,5914.0,5909.05,5913.95,134450.0,295.9,295.9,294.65,295.1,28000.0,11297.05,11306.5,11288.25,11300.8,14300.0
2010-12-20 09:23:00,888.0,890.0,887.95,890.0,1000.0,653.95,655.0,653.75,655.0,2500.0,1294.1,1297.5,1294.0,1297.5,5500.0,2723.95,2732.8,2723.0,2731.55,20375.0,1202.0,1205.0,1195.55,1195.55,4750.0,1098.55,1102.1,1098.55,1101.9,13000.0,683.4,685.0,683.15,684.25,15000.0,405.0,405.75,405.0,405.75,2000.0,2167.45,2173.5,2167.45,2171.1,5250.0,247.8,248.25,247.8,248.25,2000.0,457.25,458.0,456.6,457.5,5000.0,5913.95,5920.0,5912.0,5919.1,143300.0,295.6,296.55,295.6,296.3,10000.0,11304.0,11325.0,11302.0,11320.1,9325.0
2010-12-20 09:24:00,891.15,892.25,891.15,892.25,1250.0,655.9,655.9,655.0,655.0,2000.0,1296.0,1297.1,1295.15,1295.15,7000.0,2732.7,2734.65,2725.7,2728.6,18875.0,1197.0,1199.0,1196.0,1196.3,4000.0,1100.9,1102.0,1098.0,1099.4,23000.0,683.8,684.0,682.0,682.05,23125.0,405.75,405.75,405.75,405.75,0.0,2172.0,2174.8,2169.6,2174.8,8000.0,248.5,248.5,248.5,248.5,1000.0,457.85,459.0,457.15,458.7,6500.0,5920.0,5920.4,5911.1,5911.1,80350.0,296.6,296.75,295.8,296.05,11000.0,11322.5,11329.1,11320.05,11324.0,6975.0
2010-12-20 09:25:00,890.0,890.0,890.0,890.0,250.0,655.0,655.0,654.9,654.95,1500.0,1295.1,1297.0,1294.75,1297.0,4750.0,2725.6,2729.0,2725.6,2729.0,7375.0,1198.95,1199.0,1198.25,1198.25,1000.0,1099.0,1100.5,1098.5,1100.5,11000.0,682.55,683.8,682.0,683.1,10000.0,404.6,404.6,404.5,404.5,2000.0,2174.9,2177.0,2173.0,2174.95,3875.0,247.55,247.55,247.0,247.0,2000.0,459.3,460.3,459.0,460.3,4500.0,5911.0,5915.25,5910.1,5913.1,62700.0,296.0,296.0,295.65,295.65,5000.0,11323.0,11325.0,11318.1,11325.0,6450.0
2010-12-20 09:26:00,890.0,890.0,889.0,889.0,750.0,655.4,655.5,655.4,655.4,3000.0,1298.0,1300.85,1298.0,1299.0,12250.0,2729.0,2729.0,2726.0,2726.0,6875.0,1199.0,1203.7,1199.0,1203.7,2750.0,1100.8,1101.0,1099.0,1099.1,24250.0,683.05,683.25,682.65,683.25,2500.0,404.5,404.5,404.5,404.5,0.0,2174.5,2176.65,2172.65,2175.15,3000.0,246.75,246.75,245.35,245.35,3000.0,460.6,460.6,459.0,459.0,3500.0,5913.0,5914.0,5908.0,5910.1,74900.0,296.0,296.0,295.55,295.8,6000.0,11320.0,11320.0,11310.0,11313.0,4725.0
2010-12-20 09:27:00,889.05,889.05,889.05,889.05,250.0,655.5,655.5,654.95,655.35,3000.0,1299.0,1300.65,1298.6,1299.0,5500.0,2726.0,2729.0,2725.5,2725.65,10375.0,1200.05,1200.05,1200.05,1200.05,250.0,1099.0,1100.6,1098.5,1100.35,7250.0,683.35,683.8,683.0,683.8,3125.0,405.0,405.0,405.0,405.0,1000.0,2174.9,2175.0,2174.0,2174.85,1125.0,246.15,246.8,246.0,246.0,8000.0,459.35,459.35,458.65,459.2,3000.0,5911.0,5914.0,5909.0,5912.0,55600.0,295.5,296.0,295.4,296.0,7000.0,11315.0,11320.0,11310.6,11316.0,5100.0
2010-12-20 09:28:00,892.0,892.75,892.0,892.75,500.0,655.7,656.2,655.7,656.2,2000.0,1299.3,1300.0,1299.0,1299.0,4750.0,2726.4,2728.0,2725.0,2727.0,9375.0,1203.45,1203.5,1203.45,1203.5,750.0,1100.0,1100.0,1099.05,1099.05,4500.0,683.9,684.5,683.9,684.5,3125.0,404.55,404.55,404.55,404.55,1000.0,2174.0,2175.45,2172.5,2174.1,1250.0,246.9,246.9,246.9,246.9,1000.0,461.7,462.05,461.3,461.6,3500.0,5912.0,5914.75,5911.0,5914.0,42600.0,296.4,296.4,296.05,296.3,4000.0,11315.1,11326.0,11315.1,11325.0,2575.0
2010-12-20 09:29:00,892.75,894.0,892.75,894.0,1500.0,656.7,656.8,656.7,656.8,1000.0,1299.0,1300.0,1297.75,1299.5,8500.0,2727.2,2729.4,2726.15,2726.55,11250.0,1204.0,1207.7,1204.0,1207.7,1750.0,1099.3,1103.0,1099.3,1102.0,18500.0,684.5,684.5,683.65,684.0,11250.0,405.3,405.3,405.3,405.3,1000.0,2174.75,2175.0,2171.0,2171.0,2500.0,246.2,247.0,246.2,247.0,6000.0,460.0,460.0,458.5,458.5,3000.0,5914.0,5917.6,5914.0,5917.6,63800.0,296.45,296.7,296.45,296.7,10000.0,11326.0,11332.0,11326.0,11328.0,5275.0
2010-12-20 09:30:00,894.0,895.0,894.0,894.5,3250.0,656.1,656.1,656.1,656.1,500.0,1299.45,1299.45,1297.0,1297.0,5000.0,2727.0,2727.0,2722.35,2722.9,11750.0,1206.45,1206.45,1206.45,1206.45,1000.0,1101.4,1102.0,1100.2,1101.0,6250.0,684.65,684.65,684.0,684.5,5625.0,405.3,405.3,405.3,405.3,0.0,2170.6,2171.0,2166.0,2168.0,5625.0,247.5,247.75,247.5,247.75,2000.0,458.5,458.5,458.0,458.0,2000.0,5916.0,5917.0,5913.4,5915.0,50800.0,296.7,296.75,296.35,296.35,8000.0,11327.2,11330.0,11320.0,11320.0,1875.0
2010-12-20 09:31:00,893.6,893.75,892.8,893.75,1000.0,656.0,656.6,656.0,656.6,2000.0,1296.55,1298.6,1296.0,1298.6,5750.0,2722.9,2724.0,2719.0,2723.9,18875.0,1205.85,1206.8,1204.65,1206.8,3500.0,1100.45,1100.45,1098.5,1100.0,16500.0,683.95,684.4,683.95,684.35,7500.0,405.3,405.3,405.3,405.3,0.0,2165.0,2168.2,2164.35,2168.2,2875.0,247.8,248.0,247.8,248.0,2000.0,458.2,458.75,457.45,458.75,3000.0,5914.8,5914.8,5910.0,5914.25,58200.0,296.5,296.5,295.6,296.05,13000.0,11323.8,11326.0,11313.05,11320.0,3300.0
2010-12-20 09:32:00,894.05,894.05,894.05,894.05,500.0,655.1,655.25,654.95,655.25,3000.0,1297.7,1299.45,1297.4,1298.0,3250.0,2724.0,2728.85,2722.2,2728.85,9250.0,1206.7,1206.95,1206.0,1206.0,1250.0,1099.4,1101.25,1098.65,1101.2,14500.0,684.05,685.0,684.05,685.0,3125.0,405.45,405.45,405.45,405.45,1000.0,2169.15,2173.05,2169.15,2173.0,1625.0,247.4,247.85,247.4,247.85,6000.0,458.7,460.25,458.7,460.25,4500.0,5914.4,5920.0,5914.25,5920.0,59700.0,295.95,296.8,295.95,296.8,8000.0,11328.7,11334.0,11322.5,11332.0,3925.0
2010-12-20 09:33:00,896.0,897.0,896.0,897.0,2000.0,655.8,655.8,655.8,655.8,500.0,1298.65,1299.0,1297.0,1298.2,5750.0,2729.4,2730.1,2724.4,2729.9,11000.0,1205.5,1205.5,1204.0,1204.0,5500.0,1100.9,1101.4,1099.25,1101.4,15000.0,685.25,685.25,684.0,684.7,7500.0,405.5,405.8,405.5,405.8,3000.0,2171.55,2173.0,2168.8,2172.0,5750.0,247.5,247.95,247.5,247.95,4000.0,460.0,460.0,458.6,458.6,3500.0,5921.6,5922.0,5917.5,5920.3,51950.0,296.8,297.0,296.55,296.55,6000.0,11329.95,11332.0,11327.0,11330.0,3825.0
2010-12-20 09:34:00,895.45,895.45,895.45,895.45,250.0,655.85,655.9,655.0,655.2,2000.0,1298.3,1298.6,1296.65,1297.8,5250.0,2730.0,2730.2,2725.55,2727.9,6250.0,1205.8,1205.8,1203.5,1204.0,1000.0,1100.9,1101.1,1098.65,1098.7,14500.0,684.75,684.9,684.05,684.5,10000.0,406.0,406.0,406.0,406.0,1000.0,2170.0,2170.0,2166.7,2166.7,1750.0,247.5,247.5,247.5,247.5,3000.0,458.95,459.1,458.0,458.3,9000.0,5920.3,5922.0,5917.0,5918.5,59150.0,296.8,296.9,296.65,296.85,9000.0,11330.0,11330.55,11320.65,11324.8,2375.0
